Employee ID,Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,Years of Experience
fffe33003100360037003700,Female,Service,Yes,2,4.0,4.5,0.34,15.912328767123288
fffe3900350039003000,Male,Product,No,3,6.0,8.0,0.59,16.197260273972603
fffe31003200370030003900,Female,Service,Yes,2,4.0,5.8,0.44,15.967123287671233
fffe3800380035003500,Male,Service,No,1,3.0,4.4,0.38,15.638356164383561
fffe31003700380033003600,Male,Product,No,3,6.0,7.5,0.59,15.528767123287672
fffe33003400360035003000,Female,Service,No,2,7.0,8.0,0.7,16.054794520547944
fffe31003200370036003300,Male,Product,No,2,3.0,6.1,0.42,15.857534246575343
fffe32003000320030003900,Male,Product,Yes,1,2.0,5.1,0.46,16.123287671232877
fffe31003800390034003900,Female,Service,Yes,3,4.0,5.9,0.48,15.53972602739726
fffe32003800370033003600,Female,Service,Yes,3,5.0,4.7,0.39,16.4027397260274
fffe33003000360035003300,Female,Service,Yes,3,5.0,5.2,0.42,16.350684931506848
fffe31003100370037003500,Male,Product,Yes,0,1.0,0.0,0.0,15.758904109589041
fffe32003700320037003100,Female,Service,Yes,2,5.0,5.1,0.46,15.717808219178082
fffe31003800300037003300,Male,Product,Yes,1,2.0,4.4,0.3,15.898630136986302
fffe32003700370030003400,Female,Product,No,4,6.0,6.9,0.63,15.695890410958905
fffe31003400310039003400,Female,Service,No,2,5.0,5.3,0.45,15.986301369863014
fffe3300370039003900,Male,Service,No,2,3.0,5.9,0.49,16.21917808219178
fffe3400350038003300,Female,Service,Yes,3,6.0,6.0,0.58,15.854794520547944
fffe31003900300039003700,Male,Product,No,4,7.0,8.6,0.67,16.50958904109589
fffe32003400330033003400,Male,Service,No,2,5.0,7.3,0.71,16.306849315068494
fffe32003800310033003800,Female,Service,Yes,1,3.0,5.5,0.48,16.23835616438356
fffe3700360035003600,Male,Service,Yes,1,3.0,2.9,0.22,16.136986301369863
fffe32003000340039003700,Female,Product,No,3,6.0,5.1,0.43,16.07945205479452
fffe3300350035003000,Male,Service,Yes,4,8.0,5.9,0.74,15.767123287671232
fffe3800350037003300,Male,Service,No,2,5.0,6.4,0.57,16.397260273972602
fffe31003900330038003200,Female,Service,Yes,2,3.0,5.9,0.22,16.427397260273974
fffe31003600380030003300,Female,Service,No,3,4.0,5.8,0.47,15.638356164383561
fffe33003400360039003100,Female,Service,Yes,3,4.0,6.1,0.47,15.695890410958905
fffe33003000300033003700,Female,Service,Yes,3,5.0,5.3,0.47,16.07945205479452
fffe3400370031003000,Female,Product,Yes,1,4.0,5.5,0.34,15.73972602739726
fffe32003800370039003300,Female,Service,Yes,1,3.0,5.5,0.37,15.747945205479452
fffe3400310036003300,Female,Service,No,3,7.0,7.8,0.8,15.786301369863013
fffe31003100380031003200,Male,Product,No,4,8.0,8.9,0.8,16.106849315068494
fffe3200390038003900,Female,Product,No,2,4.0,5.9,0.36,15.997260273972604
fffe32003000370031003000,Female,Service,Yes,1,4.0,6.9,0.49,15.964383561643835
fffe31003500390038003500,Female,Service,Yes,1,3.0,5.9,0.35,16.0
fffe31003400340032003700,Male,Service,Yes,0,1.0,0.0,0.0,15.917808219178083
fffe33003000340033003600,Male,Service,Yes,4,9.0,9.3,0.86,15.761643835616438
fffe31003500340030003900,Female,Service,Yes,1,2.0,4.6,0.33,16.323287671232876
fffe31003200370033003800,Female,Service,Yes,3,6.0,5.7,0.5,16.07123287671233
fffe33003200300031003300,Female,Service,Yes,2,4.0,4.5,0.34,15.712328767123287
fffe32003100380035003300,Male,Product,Yes,0,2.0,4.7,0.23,16.38082191780822
fffe3400340035003800,Male,Product,No,4,8.0,9.9,0.92,16.43013698630137
fffe33003200380031003800,Female,Service,Yes,3,6.0,6.3,0.44,16.14246575342466
fffe33003200330034003200,Female,Service,Yes,1,3.0,3.6,0.15,15.802739726027397
fffe33003000310038003300,Female,Service,Yes,0,2.0,4.3,0.32,16.339726027397262
fffe32003200390032003500,Female,Service,Yes,3,4.0,6.5,0.43,15.93972602739726
fffe32003600360035003100,Male,Service,No,4,9.0,8.7,0.78,16.476712328767125
fffe360030003700,Male,Service,Yes,0,1.0,3.1,0.23,16.350684931506848
fffe31003200320037003900,Male,Service,Yes,2,4.0,3.6,0.21,15.991780821917809
fffe3100320034003200,Male,Service,Yes,1,2.0,3.6,0.23,15.901369863013699
fffe3600390030003500,Female,Product,Yes,3,5.0,5.7,0.4,15.67945205479452
fffe32003100360038003100,Female,Service,Yes,2,5.0,5.7,0.38,15.624657534246575
fffe32003800370033003900,Female,Service,No,0,1.0,0.5,0.0,16.232876712328768
fffe31003100300038003900,Female,Product,No,2,4.0,3.9,0.33,15.594520547945205
fffe310030003300,Male,Product,Yes,3,4.0,7.3,0.63,15.953424657534246
fffe3600350036003900,Female,Product,No,2,5.0,7.0,0.62,15.58904109589041
fffe32003200330038003600,Female,Service,No,2,4.0,5.9,0.39,15.73972602739726
fffe3700340032003100,Male,Service,Yes,3,4.0,5.4,0.36,16.068493150684933
fffe32003100390036003700,Female,Service,Yes,2,3.0,3.7,0.28,16.0986301369863
fffe31003600360035003400,Female,Product,No,3,4.0,7.4,0.56,15.561643835616438
fffe31003800360038003300,Female,Service,Yes,2,4.0,6.1,0.41,15.832876712328767
fffe32003800330034003000,Male,Service,Yes,0,1.0,2.8,0.1,16.427397260273974
fffe32003400300033003500,Female,Service,No,2,4.0,6.9,0.63,15.687671232876712
fffe31003400390032003000,Male,Service,Yes,3,7.0,7.3,0.67,16.44931506849315
fffe32003600300034003200,Male,Service,No,3,7.0,7.2,0.62,16.23835616438356
fffe32003200380037003700,Male,Service,Yes,2,7.0,9.0,0.77,16.265753424657536
fffe31003500330036003700,Female,Service,No,0,1.0,0.0,0.0,16.01095890410959
fffe32003900310031003300,Male,Product,Yes,2,6.0,5.6,0.51,15.556164383561644
fffe33003100310035003200,Female,Service,Yes,2,4.0,6.8,0.61,15.531506849315068
fffe3300330034003200,Female,Service,Yes,1,3.0,5.1,0.41,16.410958904109588
fffe3400360032003100,Female,Service,Yes,3,5.0,6.0,0.53,16.005479452054793
fffe3700390038003900,Female,Service,Yes,1,3.0,6.8,0.5,15.564383561643835
fffe32003700330036003100,Male,Product,Yes,2,5.0,6.5,0.55,15.643835616438356
fffe3100310034003000,Male,Service,Yes,4,6.0,5.7,0.49,15.991780821917809
fffe31003400370037003600,Male,Service,Yes,2,4.0,6.9,0.57,16.46849315068493
fffe31003500330036003100,Male,Product,Yes,3,5.0,6.1,0.44,15.723287671232876
fffe3200340032003800,Male,Service,Yes,3,7.0,8.8,0.7,16.506849315068493
fffe32003500340036003900,Female,Service,Yes,1,2.0,6.8,0.48,15.717808219178082
fffe3500340030003100,Male,Product,No,0,4.0,3.8,0.23,15.542465753424658
fffe31003100320034003200,Male,Service,No,4,7.0,5.9,0.79,16.084931506849315
fffe32003500330030003600,Male,Service,No,2,5.0,6.8,0.6,16.473972602739725
fffe32003800370038003100,Male,Product,Yes,2,4.0,5.5,0.48,15.821917808219178
fffe33003400390038003700,Female,Service,Yes,2,3.0,4.5,0.21,15.698630136986301
fffe31003600370032003800,Female,Product,No,2,2.0,2.6,0.15,15.967123287671233
fffe32003400350038003000,Male,Service,No,5,10.0,10.0,0.98,15.736986301369862
fffe31003100350037003800,Female,Service,Yes,1,2.0,4.3,0.25,15.668493150684931
fffe32003700310038003500,Male,Product,No,3,8.0,8.8,0.7,16.397260273972602
fffe32003400390031003600,Female,Service,No,4,7.0,7.2,0.69,15.997260273972604
fffe3500350032003300,Male,Service,Yes,1,3.0,4.4,0.33,15.852054794520548
fffe3300360036003400,Female,Service,No,2,4.0,5.5,0.44,15.597260273972603
fffe33003200380032003700,Female,Product,No,2,5.0,7.8,0.57,15.536986301369863
fffe33003300320037003500,Male,Product,Yes,1,3.0,4.5,0.27,16.172602739726027
fffe32003200330034003200,Male,Service,No,4,6.0,6.7,0.67,15.90958904109589
fffe31003000340033003200,Female,Service,No,1,1.0,3.4,0.25,16.454794520547946
fffe390035003100,Female,Service,No,0,1.0,3.6,0.18,15.876712328767123
fffe3500300035003400,Female,Product,No,3,7.0,7.9,0.6,16.432876712328767
fffe32003500370035003000,Female,Service,Yes,2,5.0,5.3,0.39,15.775342465753425
fffe31003700340033003400,Female,Service,Yes,1,3.0,5.3,0.34,15.8
fffe33003400340030003900,Female,Product,No,3,6.0,5.5,0.52,15.663013698630136
fffe33003100320037003700,Female,Product,No,1,3.0,5.4,0.42,16.2
fffe3900300039003300,Male,Product,Yes,1,1.0,4.8,0.28,15.53972602739726
fffe31003600330039003300,Female,Product,Yes,2,4.0,6.2,0.38,16.5013698630137
fffe3500370038003800,Male,Product,No,4,6.0,6.9,0.59,16.145205479452056
fffe3200340033003500,Female,Product,Yes,2,5.0,8.0,0.62,16.46301369863014
fffe31003700370036003700,Male,Product,No,3,7.0,8.7,0.76,15.819178082191781
fffe3200350035003100,Female,Service,No,1,3.0,4.2,0.33,15.917808219178083
fffe33003100310030003900,Male,Service,No,2,2.0,4.2,0.28,15.586301369863014
fffe33003000370038003600,Female,Service,No,3,6.0,7.2,0.62,16.457534246575342
fffe31003900330039003900,Female,Service,Yes,2,4.0,5.2,0.45,15.753424657534246
fffe31003500380036003900,Male,Service,Yes,2,2.0,3.3,0.24,15.819178082191781
fffe33003100350036003000,Male,Service,No,2,5.0,6.3,0.53,15.783561643835617
fffe340039003600,Male,Service,Yes,2,4.0,6.8,0.59,16.186301369863013
fffe3700300032003000,Male,Product,Yes,3,6.0,5.9,0.65,16.136986301369863
fffe31003500390034003500,Male,Product,Yes,3,5.0,3.8,0.29,16.43013698630137
fffe3200370032003800,Female,Product,Yes,1,2.0,2.7,0.19,16.161643835616438
fffe3200370037003600,Female,Service,No,4,7.0,8.1,0.65,16.383561643835616
fffe32003900350036003500,Female,Product,Yes,1,1.0,1.3,0.02,15.583561643835617
fffe33003000380035003300,Female,Service,Yes,2,4.0,7.0,0.47,15.73150684931507
fffe31003800320039003800,Male,Service,No,4,7.0,5.9,0.82,16.15068493150685
fffe31003300310039003200,Female,Service,No,2,5.0,6.6,0.43,15.704109589041096
fffe32003800340031003500,Female,Service,No,2,5.0,7.9,0.61,15.797260273972602
fffe31003400320038003900,Female,Product,No,0,2.0,4.7,0.33,15.926027397260274
fffe32003700300037003600,Female,Service,No,2,4.0,7.9,0.6,16.186301369863013
fffe32003600380034003200,Female,Product,No,2,6.0,6.4,0.52,16.353424657534248
fffe31003800360034003800,Male,Service,Yes,5,9.0,9.3,0.93,16.194520547945206
fffe31003500340036003400,Male,Product,No,2,4.0,6.3,0.47,15.553424657534247
fffe3100350036003700,Male,Service,No,2,4.0,6.4,0.53,15.854794520547944
fffe31003900380039003900,Male,Service,No,3,7.0,6.9,0.51,16.356164383561644
fffe31003300390037003400,Female,Service,Yes,1,1.0,4.9,0.26,16.41917808219178
fffe32003500380038003000,Female,Product,Yes,3,4.0,5.2,0.42,16.24109589041096
fffe33003100340038003200,Female,Service,No,2,5.0,6.2,0.58,15.635616438356164
fffe32003600340033003900,Female,Service,Yes,1,2.0,5.3,0.3,15.638356164383561
fffe32003500350030003000,Male,Product,Yes,3,6.0,6.2,0.56,15.90958904109589
fffe31003700300039003800,Male,Product,No,2,5.0,6.1,0.57,16.243835616438357
fffe32003400350032003300,Female,Service,Yes,2,3.0,5.5,0.3,15.64109589041096
fffe32003500350031003700,Male,Service,No,4,8.0,9.5,0.86,16.21917808219178
fffe3700330033003700,Male,Product,No,2,6.0,6.3,0.62,15.912328767123288
fffe32003300360036003800,Male,Service,Yes,3,5.0,5.2,0.41,16.372602739726027
fffe31003100380035003700,Male,Service,Yes,1,4.0,5.1,0.38,16.04931506849315
fffe32003700330031003200,Female,Service,Yes,2,5.0,5.9,0.41,16.4
fffe32003300390039003100,Female,Service,No,2,5.0,5.8,0.46,15.967123287671233
fffe32003000340034003200,Female,Service,No,2,4.0,5.9,0.44,16.13150684931507
fffe32003400310034003700,Female,Product,No,1,1.0,3.2,0.24,15.901369863013699
fffe32003100320031003200,Female,Service,Yes,2,4.0,6.1,0.39,16.375342465753423
fffe3800360038003500,Female,Service,No,2,4.0,7.5,0.53,16.4027397260274
fffe3400380036003000,Female,Service,No,2,4.0,6.0,0.53,15.64109589041096
fffe3900390035003300,Female,Service,No,2,2.0,3.9,0.21,16.375342465753423
fffe31003300360033003500,Male,Service,No,4,8.0,8.4,0.77,15.73972602739726
fffe31003000350034003500,Female,Product,Yes,1,2.0,6.0,0.37,15.547945205479452
